0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.14,0.31,0.31,0.39,-0.08,0.14,-0.07,-0.1,-0.06,0.03,-0.04,0.54,0.54,-0.03,-0.01,0.54,-0.09,-0.02
0.14,1,0.78,0.77,0.24,-0.13,0.35,-0.14,-0.19,-0.12,0.12,-0.08,0.15,0.15,-0.13,0.04,0.15,-0.16,-0.01
0.31,0.78,1,0.97,0.55,-0.11,0.29,-0.11,-0.15,-0.1,0.3,-0.07,0.26,0.26,-0.09,0.01,0.26,-0.13,-0.01
0.31,0.77,0.97,1,0.46,-0.07,0.25,-0.08,-0.12,-0.07,0.26,-0.04,0.22,0.22,-0.08,0,0.22,-0.08,0
0.39,0.24,0.55,0.46,1,-0.05,0.17,-0.02,-0.07,-0.02,0.57,-0.01,0.52,0.52,-0.05,-0.05,0.52,-0.04,-0.02
-0.08,-0.13,-0.11,-0.07,-0.05,1,-0.17,0.28,0.2,0.27,0.03,0.88,-0.05,-0.05,0.03,-0.03,-0.05,0.8,0.61
0.14,0.35,0.29,0.25,0.17,-0.17,1,-0.04,-0.14,0.01,0.12,-0.04,0.04,0.04,-0.04,0.03,0.04,-0.1,-0.14
-0.07,-0.14,-0.11,-0.08,-0.02,0.28,-0.04,1,0.83,0.96,0.02,0.45,-0.01,-0.01,-0.01,-0.06,-0.01,0.78,-0.56
-0.1,-0.19,-0.15,-0.12,-0.07,0.2,-0.14,0.83,1,0.8,-0.02,0.35,0.14,0.14,-0.04,-0.07,0.14,0.63,-0.49
-0.06,-0.12,-0.1,-0.07,-0.02,0.27,0.01,0.96,0.8,1,0.01,0.42,0,0,-0.02,-0.04,0,0.8,-0.61
0.03,0.12,0.3,0.26,0.57,0.03,0.12,0.02,-0.02,0.01,1,0.04,0.08,0.08,-0.04,-0.06,0.08,0.02,0.02
-0.04,-0.08,-0.07,-0.04,-0.01,0.88,-0.04,0.45,0.35,0.42,0.04,1,-0.01,-0.01,0.02,-0.04,-0.01,0.82,0.38
0.54,0.15,0.26,0.22,0.52,-0.05,0.04,-0.01,0.14,0,0.08,-0.01,1,1,-0.02,-0.05,1,-0.03,-0.04
0.54,0.15,0.26,0.22,0.52,-0.05,0.04,-0.01,0.14,0,0.08,-0.01,1,1,-0.02,-0.05,1,-0.03,-0.04
-0.03,-0.13,-0.09,-0.08,-0.05,0.03,-0.04,-0.01,-0.04,-0.02,-0.04,0.02,-0.02,-0.02,1,-0.01,-0.02,0.01,0.04
-0.01,0.04,0.01,0,-0.05,-0.03,0.03,-0.06,-0.07,-0.04,-0.06,-0.04,-0.05,-0.05,-0.01,1,-0.05,-0.05,0.01
0.54,0.15,0.26,0.22,0.52,-0.05,0.04,-0.01,0.14,0,0.08,-0.01,1,1,-0.02,-0.05,1,-0.03,-0.04
-0.09,-0.16,-0.13,-0.08,-0.04,0.8,-0.1,0.78,0.63,0.8,0.02,0.82,-0.03,-0.03,0.01,-0.05,-0.03,1,0
-0.02,-0.01,-0.01,0,-0.02,0.61,-0.14,-0.56,-0.49,-0.61,0.02,0.38,-0.04,-0.04,0.04,0.01,-0.04,0,1
