66.97%,15.16%,14.04%,3.55%,0.19%,BW,MEM_BW,switch,cpu,io,memory,network
-2.1128356356791613,4.564816941625166,6.345744715263242,0.043702975925914204,-0.47139637029381776,99.21799999999999,63.838,10311.552,17.725,992.488,3287.738,35.181
-1.8058941639569832,2.546569854606895,-0.05397142036775059,-0.2858555962887887,-0.2466831449672547,288.26599999999996,122.176,12621.605,19.453,201.438,3301.961,30.495
-1.5112246874964106,2.0374174125654387,-1.2927028604326642,-0.02172874869730021,0.019282956920125754,456.551,176.774,12422.071000000002,21.858,45.599,3303.863,35.454
-1.6686275554448349,1.7579337425921764,-1.2533801496763404,-0.07141861970514866,-0.04343816262249579,428.664,160.654,12165.086000000001,19.95,39.361999999999995,3327.445,33.865
-1.5198411551477276,2.56925106127349,-0.18482895120110654,-0.11347637257833303,0.01830173259830106,428.664,160.654,12604.382,20.012,189.919,3291.152,30.148000000000003
-1.3552594528367312,2.0166846242292,-1.322476023444238,-0.42086442234324023,0.002575192628835665,460.361,165.612,13674.542,22.553,44.159,3313.3790000000004,36.349000000000004
-1.6145759781180338,2.209921422409201,0.6757644594134847,0.035936106630930706,0.04572558086524832,445.19,163.351,11532.532,20.498,274.08299999999997,3333.328,31.134
-1.6483426078089913,2.134031444546951,-1.2490896142174852,0.07530672382823271,0.045807892021424754,445.19,163.351,12044.666000000001,20.062,52.64,3296.074,25.142
-1.2729249769275675,1.9840496256587985,-1.261701200563817,-0.6923646175422349,0.06922627897028259,484.361,168.303,14482.973,19.425,51.998999999999995,3322.91,31.188000000000002
-1.4960116656850573,2.4095534814200437,0.0457654900107551,-0.10751017415810545,0.09708264139123202,458.538,169.018,12430.732,20.244,211.045,3307.5040000000004,25.956
-1.7140010404509596,1.606401852493571,-1.1175198801279822,-0.13877702587497956,-0.01673611956101728,428.67400000000004,154.787,12136.876,19.715,49.6,3343.355,27.239
-1.526176208212536,2.2780562359599363,-0.05071079661613577,-0.335075239241391,0.011054925890630353,428.67400000000004,154.787,12953.457,18.847,195.998,3320.805,28.680999999999997
-1.6485857338562626,1.7779145434769625,-1.143648338064844,0.019059074330493152,0.0018261569723709793,453.829,158.304,11916.981000000002,20.956,52.48,3326.008,32.624
-1.6481331440870512,1.6038150726453113,-1.1727370343737558,-0.2607085183609337,-0.03072901562034494,432.759,149.832,12559.338,20.371,44.16,3344.895,29.449
-1.7185535820519053,2.007298120411164,0.0415121527058979,0.21496573746306954,0.1275750419886248,459.30300000000005,169.69,11021.034,20.839000000000002,193.921,3330.535,19.05
-1.6741826463136724,1.649330970082005,-1.0862037976927026,0.015788539067565326,0.041859128090749896,459.30300000000005,169.69,11798.221000000001,19.689,54.56,3336.863,29.013
-1.7029688511158458,1.87290086347737,-1.1672707756043617,0.03526728324540771,0.036118916870752846,450.87300000000005,160.1,11893.118,18.383,52.798,3318.32,26.429000000000002
-1.901401456465457,1.869972017393813,-0.49516472667507916,0.3401546761811034,-0.012188576894599713,420.30800000000005,148.024,10567.611,19.414,126.085,3327.2070000000003,26.223000000000003
-1.6797745104684099,2.3201985941479024,0.7086551844710366,0.005623368087842655,0.018229108324567356,420.30800000000005,148.024,11586.32,20.320999999999998,281.125,3327.066,26.361
-1.5897606415893686,1.9441831894810873,-1.2032236648055927,-0.1644190465821544,0.016904078177788415,448.288,155.179,12616.18,20.03,52.638999999999996,3316.461,28.174
-1.58614539258017,2.013117003164556,-1.2010408580509395,0.10917442763339764,0.04058164933541703,464.085,170.68099999999998,11931.044,21.428,54.24,3304.895,32.525
-1.574509344894103,2.307914990260376,1.2284246468183468,-0.09187440092875773,0.09807748056720911,462.064,160.641,11801.722,18.276,341.28,3340.8590000000004,27.635
-1.493940823191906,1.7629158921656063,-1.1524091540473442,-0.31382828331195645,0.02355187313813795,462.064,160.641,12990.068000000001,21.523000000000003,53.44,3333.934,31.115
