benchmark_id,host_CPI,host_L2_BW,host_L3_BW,host_L3_SYSTEM_BW,host_MEM_BW,host_context_switch,host_cpupercent,cluster
vm-method_16_galpat-0_10,2.79,530.846,27.127,26.162,11.578,2070.004,13.106,9
vm-method_16_galpat-1_10,3.04,2189.641,947.352,578.524,18.074,2008.784,13.654,9
vm-method_16_gray_10,3.419,2273.358,912.733,581.47,19.124,2086.391,13.846,9
vm-method_16_rowhammer_10,3.092,1871.679,733.915,463.684,16.526,2951.492,12.21,9
vm-method_16_incdec_10,3.415,1668.035,703.19,445.946,16.33,3121.508,12.541,9
vm-method_16_inc-nybble_10,2.591,599.679,62.706,53.201,11.86,3021.558,13.684,9
vm-method_16_rand-set_10,2.754,148.26,86.531,86.406,12.176,1915.93,13.125,9
vm-method_16_write64_10,3.101,1988.789,710.508,472.494,16.364,2015.37,12.176,9
vm-method_16_modulo-x_10,6.991,1897.315,771.865,482.432,16.728,2273.939,12.925,9
vm-method_16_prime-0_10,7.498,1306.062,485.521,319.3,16.612,2132.732,13.862,9
vm-method_16_prime-gray-1_10,9.978,2047.511,903.316,577.328,15.601,3092.642,13.91,10
vm-method_16_prime-gray-0_10,3.152,2180.578,1091.981,674.721,19.175,3050.165,13.978,10
vm-method_16_walk-1d_10,3.09,2318.34,815.255,528.315,19.224,2962.785,13.777,10
vm-method_16_walk-0d_10,2.645,1626.217,536.074,359.697,19.448,2151.006,13.123,10
vm-method_16_walk-1a_10,2.563,964.818,239.474,183.301,14.38,2017.024,13.325,10
vm-method_16_swap_10,2.732,987.994,254.714,180.9,12.775,2017.02,13.174,10
vm-method_16_move-inv_10,2.698,2022.963,930.786,606.479,20.154,2472.43,13.152,11
bsearch_16_16_10,2.557,1150.445,497.047,338.988,20.922,2122.987,13.618,11
hsearch_16_16_10,3.188,2099.275,789.258,724.703,18.245,3138.891,13.93,11
icache_16_16_10,3.039,754.799,205.062,146.8,13.299,3125.231,13.945,11
memcpy_16_16_10,3.33,2849.963,1976.566,1252.909,75.753,2274.408,13.082,11
seek-size_16_1g_10,3.038,242.411,9.001,16.224,11.525,1934.804,12.959,11
seek-size_16_10g_10,2.874,2167.849,990.196,618.04,17.982,1970.126,13.855,12
seek-size_16_10m_10,3.256,1994.689,851.607,535.307,22.108,2967.419,13.737,12
seek-size_16_100m_10,3.083,1180.086,452.244,296.124,17.605,2792.145,13.76,12
zlib_16_16_10,2.636,1839.26,478.165,316.345,14.656,2304.02,13.889,12
zlib_16_1_10,3.056,2372.575,998.52,612.304,17.971,3212.765,13.615,13
userfaultfd_10,3.053,570.27,209.155,143.995,13.006,17692.375,5.322,13
fault_10,6.307,27.229,29.097,386.819,8.713,1959.985,13.091,13
vm-method_16_prime-gray-0_10l,2.977,1146.616,313.362,226.881,16.43,1949.974,12.89,13
