,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
55,0.02,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.62,0.01,0.0,0.0,0.44
56,0.08,0.0,0.0,0.01,0.03,0.01,0.47,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.15,0.34,0.01,0.01,0.44
57,0.03,0.0,0.0,0.0,0.01,0.04,0.7,0.92,1.0,1.0,0.01,0.0,0.05,0.05,0.09,0.0,0.05,0.73,0.0
58,0.11,0.27,0.37,0.26,0.55,0.01,0.99,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.04,0.0,0.01,0.01,0.45
59,0.09,0.2,0.26,0.19,0.54,0.0,0.96,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.11,0.0,0.01,0.0,0.44
60,0.1,0.11,0.18,0.13,0.36,0.0,0.92,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.13,0.0,0.01,0.0,0.44
61,0.01,0.55,0.0,0.0,0.0,0.0,0.99,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.15,0.0,0.01,0.0,0.44
62,0.01,0.0,0.0,0.0,0.0,0.01,0.98,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.99,0.01,0.01,0.01,0.44
63,0.03,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.03,0.0,0.01,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.44
64,0.78,0.0,0.0,0.0,0.0,0.01,0.97,0.0,0.03,0.0,0.01,0.0,0.01,0.01,0.18,0.04,0.01,0.01,0.44
65,0.03,0.17,0.01,0.01,0.0,0.0,0.96,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.13,0.0,0.01,0.0,0.44
66,0.02,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.44
67,0.01,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.1,0.0,0.01,0.0,0.44
68,0.03,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.03,0.0,0.01,0.0,0.01,0.01,0.19,0.0,0.01,0.0,0.44
69,0.03,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.03,0.0,0.01,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.44
70,0.05,0.17,0.0,0.0,0.0,0.01,0.99,0.0,0.03,0.0,0.01,0.0,0.01,0.01,0.12,0.0,0.01,0.01,0.44
71,0.07,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.15,0.0,0.01,0.01,0.44
72,0.06,0.0,0.0,0.0,0.0,0.01,0.98,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.1,0.0,0.01,0.01,0.45
73,0.03,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.23,0.0,0.01,0.0,0.44
74,0.12,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.04,0.0,0.0,0.0,0.01,0.01,0.08,0.0,0.01,0.0,0.44
75,0.05,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.08,0.0,0.01,0.0,0.44
76,0.24,1.0,1.0,1.0,0.0,0.01,0.98,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.44
77,0.05,0.0,0.0,0.0,0.0,0.01,0.98,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.11,0.0,0.01,0.0,0.44
78,0.01,0.09,0.04,0.03,0.0,0.01,0.99,0.0,0.03,0.0,0.03,0.0,0.01,0.01,0.08,0.0,0.01,0.0,0.44
79,0.02,0.05,0.0,0.0,0.0,0.0,0.93,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.12,0.0,0.01,0.0,0.44
80,0.03,0.2,0.16,0.1,0.0,0.0,0.97,0.0,0.04,0.0,0.03,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.44
81,0.06,0.21,0.15,0.1,0.0,0.0,0.98,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.19,0.0,0.01,0.0,0.44
82,0.04,0.17,0.12,0.08,0.0,0.01,0.86,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.14,1.0,0.01,0.01,0.44
83,0.06,0.15,0.12,0.08,0.0,0.01,0.88,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.17,0.0,0.01,0.01,0.45
84,0.01,0.06,0.01,0.01,0.0,0.01,0.97,0.0,0.0,0.0,0.03,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.45
85,0.02,0.01,0.01,0.01,0.0,0.0,0.93,0.0,0.04,0.0,0.03,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.44
86,0.04,0.18,0.12,0.08,0.0,0.0,0.85,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.09,0.34,0.01,0.0,0.44
87,0.27,0.17,0.13,0.08,0.0,0.0,0.91,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.14,0.34,0.01,0.0,0.44
88,0.31,0.12,0.08,0.05,0.0,0.0,0.98,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.07,0.0,0.01,0.0,0.44
89,0.46,0.19,0.15,0.1,0.0,0.01,0.99,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.05,0.0,0.01,0.01,0.45
90,0.04,0.2,0.18,0.11,0.0,0.01,0.99,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.45
91,0.04,0.21,0.14,0.09,0.0,0.01,0.98,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.07,0.0,0.01,0.01,0.44
92,0.01,0.15,0.09,0.06,0.0,0.0,0.93,0.0,0.01,0.0,0.02,0.0,0.01,0.01,0.1,0.0,0.01,0.0,0.44
93,0.0,0.09,0.04,0.03,0.0,0.0,0.94,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.04,0.0,0.01,0.0,0.44
94,0.02,0.09,0.04,0.03,0.0,0.0,0.93,0.0,0.03,0.0,0.02,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.44
95,0.01,0.19,0.16,0.1,0.0,0.0,0.93,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.1,0.0,0.01,0.0,0.44
96,0.0,0.11,0.08,0.06,0.0,0.0,0.96,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.14,0.0,0.01,0.0,0.44
97,0.04,0.19,0.13,0.12,0.0,0.01,0.99,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.09,0.0,0.01,0.01,0.45
98,0.03,0.07,0.03,0.02,0.0,0.01,0.99,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.28,0.0,0.01,0.01,0.45
99,0.05,0.26,0.33,0.21,0.02,0.0,0.92,0.0,0.03,0.0,0.04,0.0,0.01,0.01,0.12,0.0,0.01,0.0,0.44
100,0.03,0.02,0.0,0.0,0.0,0.0,0.91,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.22,0.0,0.01,0.0,0.44
101,0.02,0.2,0.16,0.1,0.0,0.0,0.98,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.09,0.0,0.01,0.0,0.44
102,0.05,0.18,0.14,0.09,0.01,0.01,0.97,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.06,0.0,0.01,0.01,0.44
103,0.04,0.11,0.08,0.05,0.0,0.01,0.98,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.1,0.0,0.01,0.0,0.44
104,0.01,0.17,0.08,0.05,0.0,0.0,0.99,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.11,0.0,0.01,0.0,0.44
105,0.03,0.22,0.17,0.1,0.0,0.01,0.96,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.18,0.0,0.01,0.01,0.45
106,0.03,0.05,0.03,0.02,0.0,0.07,0.33,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.06,0.48
107,0.23,0.0,0.0,0.07,0.0,0.0,0.92,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.19,0.0,0.01,0.0,0.44
108,0.03,0.11,0.05,0.04,0.0,0.0,0.91,0.0,0.01,0.0,0.04,0.0,0.01,0.01,0.39,0.01,0.01,0.0,0.44
