,0,1,2,3,4,5,6
0,1.0,1.0,0.84,1.0,0.15,-0.46,0.99
1,1.0,1.0,0.84,0.99,0.15,-0.46,0.99
2,0.84,0.84,1.0,0.87,0.11,-0.24,0.83
3,1.0,0.99,0.87,1.0,0.16,-0.44,0.99
4,0.15,0.15,0.11,0.16,1.0,0.0,0.15
5,-0.46,-0.46,-0.24,-0.44,0.0,1.0,-0.45
6,0.99,0.99,0.83,0.99,0.15,-0.45,1.0
