benchmark_id,host_CPI,host_L2_BW,host_L3_BW,host_L3_SYSTEM_BW,host_MEM_BW,host_context_switch,host_cpupercent,host_disk_io,host_disk_io_time,host_disk_weighted_io_time,host_memory,host_network,latency,latency90,process_dur_ms,total_dur_ms,weighted_latency
bsearch_16_16_10,2.557,1150.445,497.047,338.988,20.922,2122.987,13.618,6.88,12.8,15.2,321.379,0.338,10.13,10.13,14.715,18.322,5.065
hsearch_16_16_10,3.188,2099.275,789.258,724.703,18.245,3138.891,13.93,8.48,12.8,12.8,331.945,0.341,10.16,10.16,12.795,16.732,5.08
icache_16_16_10,3.039,754.799,205.062,146.8,13.299,3125.231,13.945,6.72,9.6,10.4,322.648,0.328,10.34,10.34,20.718,25.557,5.17
memcpy_16_16_10,3.33,2849.963,1976.566,1252.909,75.753,2274.408,13.082,18.88,32.8,233.601,350.602,0.347,10.29,10.29,13.819,18.798,5.145
seek-size_16_1g_10,3.038,242.411,9.001,16.224,11.525,1934.804,12.959,3.84,15.999,16.798,321.137,0.333,10.12,10.12,18.183,22.729,5.06
seek-size_16_10g_10,2.874,2167.849,990.196,618.04,17.982,1970.126,13.855,17.439,15.199,20.799,320.809,0.333,10.41,10.41,12.662,19.449,5.205
seek-size_16_10m_10,3.256,1994.689,851.607,535.307,22.108,2967.419,13.737,7.2,11.2,11.2,319.656,0.344,10.21,10.21,11.301,14.906,5.105
seek-size_16_100m_10,3.083,1180.086,452.244,296.124,17.605,2792.145,13.76,7.2,12.8,13.6,315.703,0.336,10.22,10.22,13.247,18.203,5.11
zlib_16_16_10,2.636,1839.26,478.165,316.345,14.656,2304.02,13.889,6.72,9.6,10.4,274.648,0.352,11.65,11.65,13.599,18.719,5.825
zlib_16_1_10,3.056,2372.575,998.52,612.304,17.971,3212.765,13.615,6.88,12,16,319.156,0.333,10.4,10.4,16.233,20.968,5.2
userfaultfd_10,3.053,570.27,209.155,143.995,13.006,17692.375,5.322,23.2,31.999,346.389,263.625,8.815,0.01,0.01,14.338,19.342,0.005
fault_10,6.307,27.229,29.097,386.819,8.713,1959.985,13.091,9.44,39.2,88,277.723,0.344,10.07,10.07,16.843,21.601,5.035
vm-method_16_prime-gray-0_10l,2.977,1146.616,313.362,226.881,16.43,1949.974,12.89,3.68,15.2,17.6,338.367,0.339,10.1,10.1,25.211,30.116,5.05
